combinedFlightNumber,Large_delays,slight_delays,moderate_delays,total_cancellations,
WN 199,0,0,0,8,
AA 5825,0,0,0,8,
F9 820,0,0,0,8,
NK 3206,0,0,0,8,
AA 1818,0,0,0,8,
AA 2872,0,0,0,8,
WN 1163,0,0,0,8,
AA 4202,0,0,0,8,
B6 932,0,0,0,8,
WN 3069,0,0,0,8,
WN 1110,0,0,0,8,
WN 945,0,0,0,8,
AA 5836,0,0,0,8,
WN 804,0,0,0,8,
UA 3659,0,0,0,8,
AA 2250,0,0,0,8,
AA 3756,0,0,0,8,
NK 1561,0,0,0,8,
AA 2374,0,0,0,8,
WN 1041,0,0,0,8,
WN 2440,0,0,0,8,
B6 1220,0,0,0,8,
WN 535,0,0,0,8,
WN 1442,0,0,0,8,
AA 1312,0,0,0,8,
B6 1132,0,0,0,8,
B6 1634,0,0,0,8,
B6 2119,0,0,0,8,
UA 4701,0,0,0,8,
WN 680,0,0,0,8,
AA 1148,0,0,0,8,
DL 5016,0,0,0,8,
AA 3258,0,0,0,8,
AA 2456,0,0,0,8,
WN 799,0,0,0,8,
AA 1319,0,0,0,8,
WN 672,0,0,0,8,
AA 2085,0,0,0,8,
WN 1765,0,0,0,8,
AA 3154,0,0,0,8,
WN 685,0,0,0,8,
AA 2714,0,0,0,8,
UA 3624,0,0,0,8,
AS 546,0,0,0,8,
AA 817,0,0,0,8,
AA 5508,0,0,0,8,
WN 922,0,0,0,8,
WN 670,0,0,0,8,
AA 701,0,0,0,8,
WN 1921,0,0,0,8,
AS 1196,0,0,0,8,
AS 8,0,0,0,8,
UA 5834,0,0,0,8,
WN 2009,0,0,0,8,
AA 1642,0,0,0,8,
AA 2142,0,0,0,8,
AS 754,0,0,0,8,
NK 1320,0,0,0,7,
WN 1460,0,0,0,7,
AA 1608,0,0,0,7,
AA 1061,0,0,0,7,
AA 3149,0,0,0,7,
AA 5127,0,0,0,7,
DL 5637,0,0,0,7,
AS 1366,0,0,0,7,
DL 4040,0,0,0,7,
AA 4043,0,0,0,7,
AA 4242,0,0,0,7,
NK 600,0,0,0,7,
NK 319,0,0,0,7,
AA 2722,0,0,0,7,
